EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-16600272	AE 1906, 00131	Africa proconsularis	Maktar / Makthar / Mactar / Makthars / Mactaris					inscriptiones christianae;  nomen singulare;  tituli sepulcrales;  viri	D(is) M(anibus) s(acrum) / <v=B>i<x=S>i<t=S> me(n)s(es) / o(c)to (!) minus / <d=Z>i(e)s Baduma/s in pa(ce)	D M s BiSiS mes oto minus Zis Badumas in pa	Dis Manibus sacrum vixit menses octo minus dies Badumas in pace	lapis		35.8571565	9.2014433			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD021980;1ae1906-40			
EDCS-13900475	AE 1951, 00040	Africa proconsularis	Maktar / Makthar / Mactar / Makthars / Mactaris					tituli sacri	Latonae Aug(ustae) d(onum) d(edit)	Latonae Aug d d	Latonae Augustae donum dedit	lapis		35.8571565	9.2014433		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$JL_EDCS-13900475.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD021001;1ae1951-16			
EDCS-13900377	AE 1952, 00040 = AE 1954, 00258 = AE 1955, 00039	Africa proconsularis	Maktar / Makthar / Mactar / Makthars / Mactaris						Fatus(!)	Fatus	Fatus	lapis	Die verstorbene trägt einen volumen mit der Aufschrift Fatus.	35.8571565	9.2014433			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD018881;HD019140;1ae1952-17			
EDCS-13900046	AE 1953, 00048	Africa proconsularis	Maktar / Makthar / Mactar / Makthars / Mactaris					tituli sacri	Apollo(!) Genius(!) / Libero P[atrio(!)] / Cereri Ca[stae(?)]	Apollo Genius Libero P Cereri Ca	Apollo Genius Libero Patrio Cereri Castae	lapis	tabula lusoria	35.8571565	9.2014433			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD018410;1ae1953-19			
EDCS-13302733	AE 1959, 00269	Africa proconsularis	Maktar / Makthar / Mactar / Makthars / Mactaris					ordo decurionum;  ordo senatorius;  tituli honorarii;  tituli operum;  viri	Po]stumo N[3] / [3 iuridi]co per Ap[uliam] / [3 Br]uttios p[3] / [3 provi]nciae As[iae 3] / [3] civi et [patrono coloniae 3] / [3 dec]urion[um decreto 3] / [3 statuam p]ublic[e posuit	Postumo N co per Ap uttios p nciae As civi et urion ublice posuit	Postumo N iuridico per Apuliam Bruttios p provinciae Asiae civi et patrono coloniae decurionum decreto statuam publice posuit	lapis		35.8571565	9.2014433			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD019438			
EDCS-13302578	AE 1963, 00096 = AE 2010, +01791 = CaSteR-2020	Africa proconsularis	Maktar / Makthar / Mactar / Makthars / Mactaris	113	113	113	113	Augusti/Augustae;  ordo decurionum;  tituli honorarii;  tituli sacri;  tria nomina;  viri	Imp(eratori) Caesari divi Nervae / f(ilio) Nervae Traiano Aug(usto) Ger(manico) / Dacico pont(ifici) max(imo) trib(unicia) pot(estate) XVII / imp(eratori) VII co(n)s(uli) VI p(atri) p(atriae) civitates LXIIII / pagi Thuscae et Gunzuzi pec(unia) sua / fecerunt idemque dedicaveru(n)t curatore Victore Marti/ali praefecto earum e |(centurione)	Imp Caesari divi Nervae f Nervae Traiano Aug Ger Dacico pont max trib pot XVII imp VII cos VI p p civitates LXIIII pagi Thuscae et Gunzuzi pec sua fecerunt idem que dedicaverut curatore Victore Martiali praefecto earum e	Imperatori Caesari divi Nervae filio Nervae Traiano Augusto Germanico Dacico pontifici maximo tribunicia potestate XVII imperatori VII consuli VI patri patriae civitates LXIIII pagi Thuscae et Gunzuzi pecunia sua fecerunt idem que dedicaverunt curatore Victore Martiali praefecto earum e centurione	lapis	tesserae hospitalis, https://doi.org/10.13125/caster/4222	35.8571565	9.2014433		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1963_00096.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD017128			113 to 113
EDCS-10701943	AE 1966, 00515	Africa proconsularis	Maktar / Makthar / Mactar / Makthars / Mactaris	102	117	102	117	Augusti/Augustae;  tituli honorarii;  viri	[Imp(eratori) Cae]sari N[ervae Traiano Aug(usto)] / [Ge]r(manico) Daci[co3] / [3]F[	sari N r Daci F	Imperatori Caesari Nervae Traiano Augusto Germanico Dacico F	lapis		35.8571565	9.2014433			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD016523			102 to 117
EDCS-08900663	AE 1980, 00921	Africa proconsularis	Maktar / Makthar / Mactar / Makthars / Mactaris					mulieres;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri	Pomponia Saturn/ina Cupiti filia / h(ic) s(ita) e(st)	Pomponia Saturnina Cupiti filia h s e	Pomponia Saturnina Cupiti filia hic sita est	lapis		35.8571565	9.2014433			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD006016			
EDCS-08900666	AE 1980, 00924	Africa proconsularis	Maktar / Makthar / Mactar / Makthars / Mactaris					tituli sepulcrales;  tria nomina;  viri	P(ublius) Cl(audius) Aemilia/[nus 3 pi]e vixi/[t annos] CVII	P Cl Aemilia e vixi CVII	Publius Claudius Aemilianus pie vixit annos CVII	lapis		35.8571565	9.2014433			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD006025			
EDCS-08900667	AE 1980, 00925	Africa proconsularis	Maktar / Makthar / Mactar / Makthars / Mactaris					mulieres;  tituli sepulcrales;  tria nomina	Sempro[nia] / L(uci) f(ilia) Max[ima] / pia vixi[t ann]/is XI h(ic) [s(ita) e(st)]	Sempro L f Max pia vixi is XI h	Sempronia Luci filia Maxima pia vixit annis XI hic sita est	lapis		35.8571565	9.2014433			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD006028			
