EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-08100178	AE 1914, 00281 = ILAlg-02-01, 00613	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					milites;  ordo senatorius;  sacerdotes pagani;  tituli honorarii;  tria nomina;  viri	[Q(uinto) Antistio Advento] / [Q(uinti) f(ilio) Postumio Aqui]/[lino co]nsul[i sacerdoti] / [fe]t<i=U>ali IIIIv[iro viar(um) curand(arum)] / [trib(uno)] mil(itum) leg(ionis) I M[in(erviae) P(iae) F(idelis) q(uaestori) pr(o) pr(aetore)] / [pr(ovinciae) Ma]cedoni[ae seviro equitum] / [Roma]nor(um) tr(ibuno) pl(ebis) [leg(ato) pr(o) pr(aetore) pr(ovinciae)] A/[fricae] praet(ori) leg(ato) [Aug(usti) leg(ionis) VI Fer]/[ratae] et leg(ionis) II A[diutr(icis) trans]/[lato] in eam e[xpeditione Par]/[thica] in qua d[onatus est do]/[nis mi]litaribu[s coronis murali] / [vall]ari aur[ea hastis puris] / [tri]bus vexi[illis duobus] / [leg(ato)] Augus[torum pr(o) pr(aetore)] / [prov(inciae) A]rabi[ae cur(atori) operum] / [loc]oru[mque publicorum / [	nsul tUali IIIIv mil leg I M cedoni nor tr pl A praet leg et leg II A in eam e in qua d litaribu ari aur bus vexi Augus rabi orum que publicorum	Quinto Antistio Advento Quinti filio Postumio Aquilino consuli sacerdoti fetiali IIII viro viarum curandarum tribuno militum legionis I Minerviae Piae Fidelis quaestori pro praetore provinciae Macedoniae seviro equitum Romanorum tribuno plebis legato pro praetore provinciae Africae praetori legato Augusti legionis VI Ferratae et legionis II Adiutricis translato in eam expeditione Parthica in qua donatus est donis militaribus coronis murali vallari aurea hastis puris tribus vexiillis duobus legato Augustorum pro praetore provinciae Arabiae curatori operum locorum que publicorum	lapis		36.364519	6.608260			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD021587;1ae1914-71;1ae1914-72			
EDCS-16200899	AE 1926, 00134	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					Augusti/Augustae;  ordo senatorius;  tituli honorarii;  tituli operum;  tria nomina;  viri	A[m]pliatu[m] es[t templum] / pr[o] venerat(ione) Caelestis [et] / beneficientia Numini[s] / pe[r] conditorem Imp[eratorem] / Fl(avium) Valentem / [tr]iumfatorem / semper August[um] / Publilius Ceion[i]/us Caecina / Albinus v[ir] c[larissimus] / consularis	A pliatu es pr venerat Caelestis beneficientia Numini pe conditorem Imp Fl Valentem iumfatorem semper August Publilius Ceion us Caecina Albinus v c consularis	Ampliatum est templum pro veneratione Caelestis et beneficientia Numinis per conditorem Imperatorem Flavium Valentem triumfatorem semper Augustum Publilius Ceionius Caecina Albinus vir clarissimus consularis	lapis		36.364519	6.608260			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD021988;1ae1926-33			
EDCS-15900104	AE 1938, 00038	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					Augusti/Augustae;  ordo decurionum;  sacerdotes pagani;  tituli honorarii;  tituli sacri;  tria nomina;  viri	P(ublio) Iulio P(ubli) f(ilio) Qui(rina) / Proximo / aed(ili) IIIvir(o) quinq(uennali) / pr(aefecto) i(ure) d(icundo) col(oniae) Ven(eriae) Rusic(ade) / flam(ini) divi Claudi au/guri mag(istro) augur(um) / Q(uintus) Seius A(uli) f(ilius) Qui(rina) Novellus / Q(uintus) Seius Novellus fil(ius) [	P Iulio P f Qui Proximo aed III vir quinq pr i d col Ven Rusic flam divi Claudi auguri mag augur Q Seius A f Qui Novellus Q Seius Novellus fil	Publio Iulio Publi filio Quirina Proximo aedili III viro quinquennali praefecto iure dicundo coloniae Veneriae Rusicade flamini divi Claudi auguri magistro augurum Quintus Seius Auli filius Quirina Novellus Quintus Seius Novellus filius	lapis		36.364519	6.608260		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS-15900104.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD021981;1ae1938-14			
EDCS-11800742	AE 1965, 00233	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	117	138	117	138	Augusti/Augustae;  termini;  viri	Ex aucto/ritatc Imp(eratoris) Cae/saris Aug(usti) / Traiani [Hadriani	Ex auctoritatc Imp Caesaris Aug Traiani Hadriani	Ex auctoritatc Imperatoris Caesaris Augusti Traiani Hadriani	lapis		36.364519	6.608260			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD018292			117 to 138
EDCS-09700394	AE 1972, 00698	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					tituli sacri;  tria nomina;  viri	Minervae / Aug(ustae) / sacrum / Q(uintus) Antisti/us Agath/opus v(otum) s(olvit) l(ibens) a(nimo)	Minervae Aug sacrum Q Antistius Agathopus v s l a	Minervae Augustae sacrum Quintus Antistius Agathopus votum solvit libens animo	lapis		36.364519	6.608260			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD010060			
EDCS-44000912	BCTH-1904-222	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					mulieres;  tituli sepulcrales;  tria nomina;  viri	Aelia / Satur/nina v/ixit an/nis LXXX / et hic / sepulta est / f(ilius) fecit d(e)d(icavit)q(ue)	Aelia Saturnina vixit annis LXXX et hic sepulta est f fecit ddq	Aelia Saturnina vixit annis LXXX et hic sepulta est filius fecit dedicavit que	lapis		36.364519	6.608260						
EDCS-46300094	BCTH-1930/31-307 = Hugenberg-2005, 01081	Numidia	Constantine / Bordj Saguiet er Roum / Cirta	312	313	312	363	Augusti/Augustae;  miliaria;  viri	"DD[[D]](omini) nn[[n]](ostri) / Flavius / Valerius / Constanti/nus et [[ִ3]] /  [[6]] / [[6]] / [[6]] / Germani/cis Sarmati/c[[[is] 3]] / [[6]] / [[6]] / [[6]] / [[6]] / IIII / bono / rei p(ublicae) / nato(!) // D(omino) n(ostro) Fl(avio) / Claudio / Iuliano / semper / Aug(usto) / IIII"	DD nn Flavius Valerius Constantinus et Germanicis Sarmatic IIII bono rei p nato D n Fl Claudio Iuliano semper Aug IIII	DDDomini nnnostri Flavius Valerius Constantinus et ִ Germanicis Sarmaticis IIII bono rei publicae nato Domino nostro Flavio Claudio Iuliano semper Augusto IIII	lapis		36.364519	6.608260						a:  312 to 313;  361 to 363
EDCS-46400047	BCTH-1934/35-396	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					ordo senatorius;  tituli operum;  tria nomina;  viri	Fl(avius) Avianius Caecilius / v(ir) c(larissimus) cons(ularis) s(ex)f(ascalis) p(rovinciae) N(umidiae) erectis // moles in perpetuum / statura succederet	Fl Avianius Caecilius v c cons sf p N erectis moles in perpetuum statura succederet	Flavius Avianius Caecilius vir clarissimus consularis sexfascalis provinciae Numidiae erectis moles in perpetuum statura succederet	lapis		36.364519	6.608260		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$BCTH_1934-35_396.jpg				
EDCS-13001969	CIL 08, 06939 (p 1847) = ILAlg-02-01, 00468	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					tituli sacri;  tria nomina;  viri	Cae[l]esti A(ugustae) sacrum / [T(itus?)] Horatius Mar[t]ial(is) / [ex] viso cap[it]is don(um) / solvit [N]onis(?) / Maorioscum	Cae esti A sacrum Horatius Mar ial viso cap is don solvit onis Maorioscum	Caelesti Augustae sacrum Titus Horatius Martialis ex viso capitis donum solvit Nonis Maorioscum	lapis		36.364519	6.608260			http://db.edcs.eu/epigr/partner.php?s_language=en&param=bu_CIL%26bibl_volume=8%26bibl_subvolume=%26bibl_insc=6939			
EDCS-13001970	CIL 08, 06940 (p 1847) = ILAlg-02-01, 00469 = D 03390	Numidia	Constantine / Bordj Saguiet er Roum / Cirta					officium/professio;  tituli sacri;  tria nomina;  viri	Castori Augusto sac(rum) / L(ucius) Calpurnius L(uci) fil(ius) Quir(ina) / Suc(c)essianus curator / dendrophorum v(otum) s(olvit) / lib(ens) animo	Castori Augusto sac L Calpurnius L fil Quir Sucessianus curator dendrophorum v s lib animo	Castori Augusto sacrum Lucius Calpurnius Luci filius Quirina Successianus curator dendrophorum votum solvit libens animo	lapis		36.364519	6.608260			http://db.edcs.eu/epigr/partner.php?s_language=en&param=de-b0051			
