EDCS-ID	publication	province	place	dating_from	dating_to	date_not_before	date_not_after	status	inscription	inscription_conservative_cleaning	inscription_interpretive_cleaning	material	comment	latitude	longitude	language	photo	partner_link	extra_text	extra_html	raw_dating
EDCS-06000515	AE 1938, 00002 = LBIRNA 00017 = AE 1941, +00105 = AE 1945, +00032 = IRT 00521 = Historia-2021-355	Africa proconsularis	Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis	1	10	1	10	ordo senatorius;  sacerdotes pagani;  tituli operum;  tria nomina;  viri	L(ucius) Caninius L(uci) f(ilius) Gallus XVvir sacris fac(iundis) / co(n)s(ul) proco(n)s(ul) patron(us) dedic(avit)	L Caninius L f Gallus XV vir sacris fac cos procos patron dedic	Lucius Caninius Luci filius Gallus XV vir sacris faciundis consul proconsul patronus dedicavit	lapis		32.652183	14.268010		http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$JL_EDCS-06000515.jpg;$IRT_00521.jpg;$IRT_00521_1.jpg;$IRT_00521_2.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=IRT0521.html;HD021906;1ae1938-06;1ae1941-33;1ae1945-13			1 to 10
EDCS-13302735	AE 1959, 00271 = IRT 01026	Africa proconsularis	Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis	267	268	267	268	Augusti/Augustae;  ordo senatorius;  tituli honorarii;  tituli sacri;  tria nomina;  viri	] Germanico maximo / trib(unicia) pot(estate) XVI imp(eratori) / XV co(n)s(uli) VII p(atri) p(atriae) proco(n)s(uli) / C(aius) Servilius Marsus / co(n)s(ul) cur(ator) rei p(ublicae) reg(ionis) / Tripolitanae devotus / Numini maiestati/que eius	Germanico maximo trib pot XVI imp XV cos VII p p procos C Servilius Marsus cos cur rei p reg Tripolitanae devotus Numini maiestati que eius	Germanico maximo tribunicia potestate XVI imperatori XV consuli VII patri patriae proconsuli Caius Servilius Marsus consul curator rei publicae regionis Tripolitanae devotus Numini maiestati que eius	lapis		32.652183	14.268010			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD019444;IRT1026.html			267 to 268
EDCS-13302609	AE 1963, 00144a = IRT 01015	Africa proconsularis	Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis	301	350	301	350	tituli sepulcrales;  tria nomina;  viri	Lutatius / G(ai) f(ilius) Iul/ius vix/it an(nos) XLI	Lutatius G f Iulius vixit an XLI	Lutatius Gai filius Iulius vixit annos XLI	lapis		32.652183	14.268010			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD017194;IRT1015.html			301 to 350
EDCS-13302611	AE 1963, 00144c = IRT 01017	Africa proconsularis	Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis	401	700	401	700	inscriptiones christianae;  nomen singulare;  tituli sepulcrales;  viri	B(onae) m(emoriae) Se/gundianu/s(!) <v=B>i{n}xit / in pa<c=K>e an/(n)os plus m/inus LXV / requie<v=B>it [in] / pa<c=KK>e	B m Segundianus Binxit in paKe anos plus minus LXV requieBit pae	Bonae memoriae Segundianus vixit in pace annos plus minus LXV requievit in pacKe	lapis		32.652183	14.268010			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD017200;IRT1017.html			401 to 700
EDCS-82000137	AE 1983, 00950 = IRT 00997	Africa proconsularis	Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis	1	400	1	400	inscriptiones christianae;  viri	Ἰωσῆς Θεύδωρος / τὸ ιχοι βουμα βινιω	Ἰωσῆς Θεύδωρος τὸ ιχοι βουμα βινιω	Ἰωσῆς Θεύδωρος τὸ ιχοι βουμα βινιω	lapis		32.652183	14.268010			http://db.edcs.eu/epigr/partner.php?s_language=en&param=IRT0997.html			1 to 400
EDCS-07000893	AE 1988, 01101 = IRT 01007	Africa proconsularis	Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis	216	216	216	216	Augusti/Augustae;  miliaria;  tituli sacri;  viri	Imp(eratori) Caes(ari) divi Septimi Severi Adiabenici Par/[thi]ci maximi Brit{t}annici / m[a]ximi filio divi Antonini / Pii Germanici Sarmatici ne/poti divi Antonini Pii prone/poti divi Hadriani abnepoti / divi Traiani Parthici et divi / Nervae adnepot[i] / Marco Au[reli]o Antoni[n]o Pio Felici / Aug(usto) Parthico maximo Brit{t}an(n)ico / maximo Germanico maximo pon/tifici maximo tribuniciae po/testatis XVIII imp(eratori) III co(n)s(uli) IIII // I	Imp Caes divi Septimi Severi Adiabenici Par ci maximi Brittannici m ximi filio divi Antonini Pii Germanici Sarmatici nepoti divi Antonini Pii pronepoti divi Hadriani abnepoti divi Traiani Parthici et divi Nervae adnepot Marco Au o Antoni o Pio Felici Aug Parthico maximo Brittanico maximo Germanico maximo pontifici maximo tribuniciae potestatis XVIII imp III cos IIII I	Imperatori Caesari divi Septimi Severi Adiabenici Parthici maximi Britannici maximi filio divi Antonini Pii Germanici Sarmatici nepoti divi Antonini Pii pronepoti divi Hadriani abnepoti divi Traiani Parthici et divi Nervae adnepoti Marco Aurelio Antonino Pio Felici Augusto Parthico maximo Britannico maximo Germanico maximo pontifici maximo tribuniciae potestatis XVIII imperatori III consuli IIII I	lapis		32.652183	14.268010			http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD009599;IRT1007.html			216 to 216
EDCS-12500343	AE 1998, 01517a	Africa proconsularis	Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis					nomen singulare;  tituli possessionis;  viri	Cerialis	Cerialis	Cerialis	aes		32.652183	14.268010						
EDCS-12500344	AE 1998, 01517b	Africa proconsularis	Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis					nomen singulare;  viri	Cresce(n)s	Cresces	Crescens	lapis		32.652183	14.268010						
EDCS-12500345	AE 1998, 01517c	Africa proconsularis	Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis					nomen singulare;  viri	Mari(us)	Mari	Marius	lapis		32.652183	14.268010						
EDCS-12500346	AE 1998, 01517d	Africa proconsularis	Al-Khums / Khoms / Homs / Lebdah / Lebida / Labdah / Wadi Zennad / Wadi az Zannad / Leptis Magna / Lepcis Magna / Neapolis					nomen singulare;  viri	Antoni(us)	Antoni	Antonius	lapis		32.652183	14.268010						
